text,joy,sadness,anger,fear
"Built upon a dismal reef of sunken rocks, some league or so from shore, on which the waters chafed and dashed, the wild year through, there stood a solitary lighthouse.",0.819,0.335,0.908,0.088
"Great heaps of seaweed clung to its base, and storm-birds--born of the wind, one might suppose, as seaweed of the water--rose and fell about it, like the waves they skimmed.",0.660,0.762,0.785,0.237
"But, even here, two men who watched the light had made a fire that through the loophole in the thick stone wall shed out a ray of brightness on the awful sea.",0.690,0.258,0.982,0.607
"Joining their horny hands over the rough table at which they sat, they wished each other Merry Christmas in their can of grog; and one of them, the elder too, with his face all damaged and scarred with hard weather, as the figure-head of an old ship might be, struck up a sturdy song that was like a gale in itself.",0.543,0.505,0.707,0.185
"Again the Ghost sped on, above the black and heaving sea--on, on--until, being far away, as he told Scrooge, from any shore, they lighted on a ship.",0.853,0.030,0.002,0.145
"They stood beside the helmsman at the wheel, the look-out in the bow, the officers who had the watch; dark, ghostly figures in their several stations; but every man among them hummed a Christmas tune, or had a Christmas thought, or spoke below his breath to his companion of some bygone Christmas-day, with homeward hopes belonging to it.",0.744,0.705,0.170,0.301
"And every man on board, waking or sleeping, good or bad, had had a kinder word for one another on that day than on any day in the year; and had shared to some extent in its festivities; and had remembered those he cared for at a distance, and had known that they delighted to remember him.",0.284,0.428,0.741,0.049
"It was a great surprise to Scrooge, while listening to the moaning of the wind, and thinking what a solemn thing it was to move on through the lonely darkness over an unknown abyss, whose depths were secrets as profound as death: it was a great surprise to Scrooge, while thus engaged, to hear a hearty laugh.",0.427,0.206,0.152,0.163
"It was a much greater surprise to Scrooge to recognise it as his own nephew's, and to find himself in a bright, dry, gleaming room, with the Spirit standing smiling by his side, and looking at that same nephew with approving affability!",0.775,0.792,0.954,0.048
"If you should happen, by any unlikely chance, to know a man more blessed in a laugh than Scrooge's nephew, all I can say is, I should like to know him too.",0.244,0.330,0.069,0.158
"It is a fair, even-handed, noble adjustment of things, that, while there is infection in disease and sorrow, there is nothing in the world so irresistibly contagious as laughter and good-humour.",0.514,0.898,0.108,0.323
"When Scrooge's nephew laughed in this way, holding his sides, rolling his head, and twisting his face into the most extravagant contortions, Scrooge's niece, by marriage, laughed as heartily as he.",0.669,0.477,0.853,0.171
"And their assembled friends, being not a bit behindhand, roared out lustily.",0.114,0.964,0.156,0.272
They are always in earnest.,0.356,0.189,0.502,0.232
She was very pretty; exceedingly pretty.,0.003,0.430,0.925,0.168
"With a dimpled, surprised-looking, capital face; a ripe little mouth, that seemed made to be kissed--as no doubt it was; all kinds of good little dots about her chin, that melted into one another when she laughed; and the sunniest pair of eyes you ever saw in any little creature's head.",0.570,0.059,0.243,0.781
"Altogether she was what you would have called provoking, you know; but satisfactory, too.",0.423,0.095,0.853,0.135
"""He's a comical old fellow,"" said Scrooge's nephew, ""that's the truth; and not so pleasant as he might be.",0.136,0.532,0.242,0.393
"""I'm sure he is very rich, Fred,"" hinted Scrooge's niece.",0.328,0.554,0.559,0.126
"""At least, you always tell _me_ so.""",0.592,0.305,0.669,0.014
He don't do any good with it.,0.376,0.424,0.180,0.071
He don't make himself comfortable with it.,0.312,0.631,0.845,0.171
"He hasn't the satisfaction of thinking--ha, ha, ha!--that he is ever going to benefit Us with it.""",0.831,0.629,0.019,0.053
"""I have no patience with him,"" observed Scrooge's niece.",0.164,0.837,0.078,0.154
"""I am sorry for him; I couldn't be angry with him if I tried.",0.269,0.559,0.933,0.150
"Here he takes it into his head to dislike us, and he won't come and dine with us.",0.577,0.898,0.691,0.042
"He don't lose much of a dinner.""",0.151,0.995,0.875,0.108
"""Indeed, I think he loses a very good dinner,"" interrupted Scrooge's niece.",0.569,0.365,0.800,0.078
"Everybody else said the same, and they must be allowed to have been competent judges, because they had just had dinner; and, with the dessert upon the table, were clustered round the fire, by lamp-light.",0.467,0.724,0.035,0.120
"I am very glad to hear it,"" said Scrooge's nephew, ""because I haven't any great faith in these young housekeepers.",0.189,0.454,0.214,0.563
"Topper had clearly got his eye upon one of Scrooge's niece's sisters, for he answered that a bachelor was a wretched outcast, who had no right to express an opinion on the subject.",0.823,0.033,0.950,0.072
"""Do go on, Fred,"" said Scrooge's niece, clapping her hands.",0.798,0.695,0.411,0.056
"Scrooge's nephew revelled in another laugh, and, as it was impossible to keep the infection off, though the plump sister tried hard to do it with aromatic vinegar, his example was unanimously followed.",0.237,0.228,0.928,0.051
"""I was only going to say,"" said Scrooge's nephew, ""that the consequence of his taking a dislike to us, and not making merry with us, is, as I think, that he loses some pleasant moments, which could do him no harm.",0.065,0.820,0.950,0.061
"I am sure he loses pleasanter companions than he can find in his own thoughts, either in his mouldy old office or his dusty chambers.",0.825,0.915,0.457,0.255
"I mean to give him the same chance every year, whether he likes it or not, for I pity him.",0.026,0.795,0.951,0.541
"He may rail at Christmas till he dies, but he can't help thinking better of it--I defy him--if he finds me going there in good temper, year after year, and saying, 'Uncle Scrooge, how are you?'",0.103,0.705,0.132,0.036
"If it only puts him in the vein to leave his poor clerk fifty pounds, _that's_ something; and I think I shook him yesterday.""",0.211,0.600,0.987,0.435
"It was their turn to laugh, now, at the notion of his shaking Scrooge.",0.571,0.772,0.845,0.011
"But, being thoroughly good-natured, and not much caring what they laughed at, so that they laughed at any rate, he encouraged them in their merriment, and passed the bottle, joyously.",0.929,0.381,0.079,0.010
"For they were a musical family, and knew what they were about when they sung a Glee or Catch, I can assure you: especially Topper, who could growl away in the bass like a good one, and never swell the large veins in his forehead, or get red in the face over it.",0.061,0.404,0.982,0.336
"Scrooge's niece played well upon the harp; and played, among other tunes, a simple little air (a mere nothing: you might learn to whistle it in two minutes), which had been familiar to the child who fetched Scrooge from the boarding-school, as he had been reminded by the Ghost of Christmas Past.",0.966,0.225,0.918,0.209
"When this strain of music sounded, all the things that Ghost had shown him came upon his mind; he softened more and more; and thought that if he could have listened to it often, years ago, he might have cultivated the kindnesses of life for his own happiness with his own hands, without resorting to the sexton's spade that buried Jacob Marley.",0.206,0.183,0.901,0.085
But they didn't devote the whole evening to music.,0.127,0.004,0.626,0.797
"After awhile they played at forfeits; for it is good to be children sometimes, and never better than at Christmas, when its mighty Founder was a child himself.",0.258,0.279,0.918,0.022
The way he went after that plump sister in the lace tucker was an outrage on the credulity of human nature.,0.841,0.330,0.747,0.239
"Knocking down the fire-irons, tumbling over the chairs, bumping up against the piano, smothering himself amongst the curtains, wherever she went, there went he!",0.113,0.843,0.650,0.222
He always knew where the plump sister was.,0.308,0.142,0.940,0.249
He wouldn't catch anybody else.,0.008,0.966,0.290,0.178
"If you had fallen up against him (as some of them did) on purpose, he would have made a feint of endeavouring to seize you, which would have been an affront to your understanding, and would instantly have sidled off in the direction of the plump sister.",0.185,0.469,0.053,0.282
"But when, at last, he caught her; when, in spite of all her silken rustlings, and her rapid flutterings past him, he got her into a corner whence there was no escape, then his conduct was the most execrable.",0.678,0.617,0.974,0.044
"For his pretending not to know her; his pretending that it was necessary to touch her head-dress, and further to assure himself of her identity by pressing a certain ring upon her finger, and a certain chain about her neck, was vile, monstrous!",0.305,0.034,0.984,0.088
"No doubt she told him her opinion of it when, another blind man being in office, they were so very confidential together behind the curtains.",0.075,0.083,0.384,0.173
"Scrooge's niece was not one of the blindman's buff party, but was made comfortable with a large chair and a footstool, in a snug corner where the Ghost and Scrooge were close behind her.",0.329,0.289,0.890,0.266
"But she joined in the forfeits, and loved her love to admiration with all the letters of the alphabet.",0.288,0.443,0.848,0.291
"Likewise at the game of How, When, and Where, she was very great, and, to the secret joy of Scrooge's nephew, beat her sisters hollow: though they were sharp girls too, as Topper could have told you.",0.342,0.095,0.867,0.031
"There might have been twenty people there, young and old, but they all played, and so did Scrooge; for, wholly forgetting, in the interest he had in what was going on, that his voice made no sound in their ears, he sometimes came out with his guess quite loud, and very often guessed right, too, for the sharpest needle, best Whitechapel, warranted not to cut in the eye, was not sharper than Scrooge; blunt as he took it in his head to be.",0.141,0.559,0.821,0.310
"The Ghost was greatly pleased to find him in this mood, and looked upon him with such favour, that he begged like a boy to be allowed to stay until the guests departed.",0.070,0.829,0.995,0.044
But this the Spirit said could not be done.,0.278,0.584,0.808,0.437
"""One half-hour, Spirit, only one!""",0.386,0.350,0.930,0.178
"and No, where Scrooge's nephew had to think of something, and the rest must find out what; he only answering to their questions yes or no, as the case was.",0.168,0.419,0.740,0.833
"The brisk fire of questioning to which he was exposed elicited from him that he was thinking of an animal, a live animal, rather a disagreeable animal, a savage animal, an animal that growled and grunted sometimes, and talked sometimes, and lived in London, and walked about the streets, and wasn't made a show of, and wasn't led by anybody, and didn't live in a menagerie, and was never killed in a market, and was not a horse, or an ass, or a cow, or a bull, or a tiger, or a dog, or a pig, or a cat, or a bear.",0.230,0.399,0.936,0.084
"At every fresh question that was put to him, this nephew burst into a fresh roar of laughter; and was so inexpressibly tickled, that he was obliged to get up off the sofa, and stamp.",0.780,0.747,0.951,0.032
"At last the plump sister, falling into a similar state, cried out:",0.804,0.205,0.271,0.021
"Admiration was the universal sentiment, though some objected that the reply to ""Is it a bear?"" ought to have been ""Yes"": inasmuch as an answer in the negative was sufficient to have diverted their thoughts from Mr. Scrooge, supposing they had ever had any tendency that way.",0.652,0.084,0.068,0.221
"""He has given us plenty of merriment, I am sure,"" said Fred, ""and it would be ungrateful not to drink his health.",0.732,0.736,0.269,0.151
"Here is a glass of mulled wine ready to our hand at the moment; and I say, 'Uncle Scrooge!'",0.143,0.863,0.082,0.373
"""A merry Christmas and a happy New Year to the old man, whatever he is!"" said Scrooge's nephew.",0.707,0.941,0.875,0.133
"""He wouldn't take it from me, but may he have it nevertheless.",0.070,0.191,0.063,0.202
"Uncle Scrooge had imperceptibly become so gay and light of heart, that he would have pledged the unconscious company in return, and thanked them in an inaudible speech, if the Ghost had given him time.",0.098,0.335,0.252,0.526
But the whole scene passed off in the breath of the last word spoken by his nephew; and he and the Spirit were again upon their travels.,0.439,0.776,0.234,0.177
"Much they saw, and far they went, and many homes they visited, but always with a happy end.",0.029,0.461,0.334,0.044
"The Spirit stood beside sick-beds, and they were cheerful; on foreign lands, and they were close at home; by struggling men, and they were patient in their greater hope; by poverty, and it was rich.",0.221,0.064,0.475,0.011
"In almshouse, hospital, and gaol, in misery's every refuge, where vain man in his little brief authority had not made fast the door, and barred the Spirit out, he left his blessing, and taught Scrooge his precepts.",0.526,0.438,0.914,0.713
"It was a long night, if it were only a night; but Scrooge had his doubts of this, because the Christmas holidays appeared to be condensed into the space of time they passed together.",0.799,0.046,0.357,0.145
"Scrooge had observed this change, but never spoke of it, until they left a children's Twelfth-Night party, when, looking at the Spirit as they stood together in an open place, he noticed that its hair was grey.",0.571,0.612,0.734,0.035
"""Are spirits' lives so short?"" asked Scrooge.",0.372,0.416,0.130,0.084
"""My life upon this globe is very brief,"" replied the Ghost.",0.210,0.461,0.203,0.567
"""It ends to-night.""  ""To-night!"" cried Scrooge.",0.078,0.408,0.113,0.337
"The time is drawing near.""",0.738,0.775,0.556,0.337
The chimes were ringing the three-quarters past eleven at that moment.,0.072,0.646,0.275,0.010
"""Forgive me if I am not justified in what I ask,"" said Scrooge, looking intently at the Spirit's robe, ""but I see something strange, and not belonging to yourself, protruding from your skirts.",0.544,0.477,0.792,0.020
"Is it a foot or a claw?""",0.099,0.761,0.170,0.223
"""It might be a claw, for the flesh there is upon it,"" was the Spirit's sorrowful reply.",0.475,0.762,0.462,0.122
"From the foldings of its robe it brought two children; wretched, abject, frightful, hideous, miserable.",0.424,0.027,0.612,0.128
"They knelt down at its feet, and clung upon the outside of its garment.",0.322,0.499,0.194,0.078
"Yellow, meagre, ragged, scowling, wolfish; but prostrate, too, in their humility.",0.336,0.452,0.640,0.355
"Where graceful youth should have filled their features out, and touched them with its freshest tints, a stale and shrivelled hand, like that of age, had pinched, and twisted them, and pulled them into shreds.",0.762,0.496,0.816,0.614
"Where angels might have sat enthroned, devils lurked, and glared out menacing.",0.610,0.858,0.626,0.659
"No change, no degradation, no perversion of humanity, in any grade, through all the mysteries of wonderful creation, has monsters half so horrible and dread.",0.807,0.593,0.867,0.344
"Having them shown to him in this way, he tried to say they were fine children, but the words choked themselves, rather than be parties to a lie of such enormous magnitude.",0.357,0.010,0.258,0.146
"""They are Man's,"" said the Spirit, looking down upon them.",0.848,0.058,0.816,0.064
"""And they cling to me, appealing from their fathers.",0.828,0.046,0.375,0.260
"Beware of them both, and all of their degree, but most of all beware this boy, for on his brow I see that written which is Doom, unless the writing be erased.",0.700,0.502,0.802,0.183
"Deny it!"" cried the Spirit, stretching out its hand towards the city. """,0.430,0.326,0.496,0.866
Slander those who tell it ye!,0.139,0.287,0.296,0.422
"Admit it for your factious purposes, and make it worse!",0.035,0.978,0.672,0.427
"""Are there no prisons?"" said the Spirit, turning on him for the last time with his own words.",0.517,0.861,0.984,0.353
"As the last stroke ceased to vibrate, he remembered the prediction of old Jacob Marley, and, lifting up his eyes, beheld a solemn Phantom, draped and hooded, coming like a mist along the ground towards him.",0.376,0.473,0.640,0.228
THE LAST OF THE SPIRITS,0.733,0.016,0.113,0.334
"When it came near him, Scrooge bent down upon his knee; for in the very air through which this Spirit moved it seemed to scatter gloom and mystery.",0.792,0.689,0.894,0.316
"It was shrouded in a deep black garment, which concealed its head, its face, its form, and left nothing of it visible, save one outstretched hand.",0.582,0.521,0.959,0.484
"But for this, it would have been difficult to detach its figure from the night, and separate it from the darkness by which it was surrounded.",0.907,0.206,0.784,0.174
"He felt that it was tall and stately when it came beside him, and that its mysterious presence filled him with a solemn dread.",0.293,0.318,0.845,0.352
"He knew no more, for the Spirit neither spoke nor moved.",0.789,0.681,0.425,0.085
"The Spirit answered not, but pointed onward with its hand.",0.761,0.817,0.414,0.470
"""You are about to show me shadows of the things that have not happened, but will happen in the time before us,"" Scrooge pursued. """,0.327,0.720,0.358,0.064
"The upper portion of the garment was contracted for an instant in its folds, as if the Spirit had inclined its head.",0.220,0.524,0.905,0.337
"Although well used to ghostly company by this time, Scrooge feared the silent shape so much that his legs trembled beneath him, and he found that he could hardly stand when he prepared to follow it.",0.145,0.326,0.027,0.241
"The Spirit paused a moment, as observing his condition, and giving him time to recover.",0.604,0.595,0.309,0.466
But Scrooge was all the worse for this.,0.085,0.375,0.991,0.262
"It thrilled him with a vague uncertain horror to know that, behind the dusky shroud, there were ghostly eyes intently fixed upon him, while he, though he stretched his own to the utmost, could see nothing but a spectral hand and one great heap of black.",0.115,0.704,0.871,0.110
"he exclaimed, ""I fear you more than any spectre I have seen.",0.468,0.197,0.264,0.424
"But, as I know your purpose is to do me good, and as I hope to live to be another man from what I was, I am prepared to bear you company, and do it with a thankful heart.",0.051,0.353,0.946,0.114
"Will you not speak to me?""",0.058,0.574,0.469,0.185
It gave him no reply.,0.159,0.316,0.079,0.263
"The night is waning fast, and it is precious time to me, I know.",0.055,0.770,0.494,0.305
The phantom moved away as it had come towards him.,0.222,0.083,0.272,0.404
"Scrooge followed in the shadow of its dress, which bore him up, he thought, and carried him along.",0.773,0.371,0.978,0.383
"They scarcely seemed to enter the City; for the City rather seemed to spring up about them, and encompass them of its own act.",0.075,0.373,0.876,0.254
"But there they were in the heart of it; on 'Change, amongst the merchants; who hurried up and down, and chinked the money in their pockets, and conversed in groups, and looked at their watches, and trifled thoughtfully with their great gold seals; and so forth, as Scrooge had seen them often.",0.282,0.462,0.740,0.044
The Spirit stopped beside one little knot of business men.,0.119,0.432,0.896,0.340
"""No,"" said a great fat man with a monstrous chin, ""I don't know much about it either way.",0.071,0.151,0.151,0.201
"""  ""Why, what was the matter with him?"" asked a third, taking a vast quantity of snuff out of a very large snuff-box.",0.777,0.738,0.967,0.213
"""What has he done with his money?"" asked a red-faced gentleman with a pendulous excrescence on the end of his nose, that shook like the gills of a turkey-cock.",0.279,0.522,0.820,0.266
"""It's likely to be a very cheap funeral,"" said the same speaker; ""for, upon my life, I don't know of anybody to go to it.",0.046,0.874,0.138,0.528
"Suppose we make up a party, and volunteer?""",0.805,0.952,0.623,0.221
"""I don't mind going if a lunch is provided,"" observed the gentleman with the excrescence on his nose.",0.264,0.904,0.456,0.294
"""But I must be fed if I make one.""",0.092,0.589,0.824,0.230
"""Well, I am the most disinterested among you, after all,"" said the first speaker, ""for I never wear black gloves, and I never eat lunch.",0.447,0.480,0.289,0.311
But I'll offer to go if anybody else will.,0.022,0.591,0.208,0.351
"When I come to think of it, I'm not at all sure that I wasn't his most particular friend; for we used to stop and speak whenever we met.",0.470,0.989,0.902,0.081
"Speakers and listeners strolled away, and mixed with other groups.",0.924,0.484,0.965,0.456
"Scrooge knew the men, and looked towards the Spirit for an explanation.",0.328,0.844,0.961,0.083
The Phantom glided on into a street.,0.765,0.088,0.239,0.637
"Scrooge listened again, thinking that the explanation might lie here.",0.671,0.772,0.432,0.287
"They were men of business: very wealthy, and of great importance.",0.091,0.529,0.087,0.157
"He had made a point always of standing well in their esteem: in a business point of view, that is; strictly in a business point of view.",0.475,0.760,0.120,0.299
"""So I am told,"" returned the second.",0.544,0.258,0.927,0.322
"You are not a skater, I suppose?",0.802,0.883,0.073,0.088
"Scrooge was at first inclined to be surprised that the Spirit should attach importance to conversations apparently so trivial; but, feeling assured that they must have some hidden purpose, he set himself to consider what it was likely to be.",0.260,0.584,0.956,0.093
"They could scarcely be supposed to have any bearing on the death of Jacob, his old partner, for that was Past, and this Ghost's province was the Future.",0.189,0.059,0.905,0.070
"But nothing doubting that, to whomsoever they applied, they had some latent moral for his own improvement, he resolved to treasure up every word he heard, and everything he saw; and especially to observe the shadow of himself when it appeared.",0.122,0.679,0.842,0.247
"For he had an expectation that the conduct of his future self would give him the clue he missed, and would render the solution of these riddles easy.",0.763,0.550,0.536,0.226
"He looked about in that very place for his own image, but another man stood in his accustomed corner, and, though the clock pointed to his usual time of day for being there, he saw no likeness of himself among the multitudes that poured in through the Porch.",0.640,0.880,0.993,0.146
"It gave him little surprise, however; for he had been revolving in his mind a change of life, and thought and hoped he saw his new-born resolutions carried out in this.",0.737,0.322,0.423,0.273
"Quiet and dark, beside him stood the Phantom, with its outstretched hand.",0.619,0.631,0.775,0.276
"When he roused himself from his thoughtful quest, he fancied, from the turn of the hand, and its situation in reference to himself, that the Unseen Eyes were looking at him keenly.",0.742,0.700,0.935,0.025
"It made him shudder, and feel very cold.",0.206,0.657,0.710,0.456
"They left the busy scene, and went into an obscure part of the town, where Scrooge had never penetrated before, although he recognised its situation and its bad repute.",0.272,0.621,0.032,0.484
"The ways were foul and narrow; the shops and houses wretched; the people half naked, drunken, slipshod, ugly.",0.645,0.216,0.770,0.266
"Alleys and archways, like so many cesspools, disgorged their offences of smell, and dirt, and life upon the straggling streets; and the whole quarter reeked with crime, with filth and misery.",0.067,0.949,0.351,0.215
"Far in this den of infamous resort, there was a low-browed, beetling shop, below a pent-house roof, where iron, old rags, bottles, bones, and greasy offal were bought.",0.043,0.468,0.042,0.110
"Upon the floor within were piled up heaps of rusty keys, nails, chains, hinges, files, scales, weights, and refuse iron of all kinds.",0.807,0.646,0.604,0.093
"Secrets that few would like to scrutinise were bred and hidden in mountains of unseemly rags, masses of corrupted fat, and sepulchres of bones.",0.476,0.304,0.111,0.735
"Sitting in among the wares he dealt in, by a charcoal stove made of old bricks, was a grey-haired rascal, nearly seventy years of age, who had screened himself from the cold air without by a frouzy curtaining of miscellaneous tatters hung upon a line, and smoked his pipe in all the luxury of calm retirement.",0.858,0.844,0.990,0.362
"Scrooge and the Phantom came into the presence of this man, just as a woman with a heavy bundle slunk into the shop.",0.821,0.702,0.670,0.536
"After a short period of blank astonishment, in which the old man with the pipe had joined them, they all three burst into a laugh.",0.897,0.024,0.330,0.498
"""Let the charwoman alone to be the first!"" cried she who had entered first.",0.426,0.037,0.171,0.029
Let the laundress alone to be the second; and let the undertaker's man alone to be the third.,0.325,0.338,0.026,0.014
"Look here, old Joe, here's a chance!",0.634,0.704,0.007,0.531
"""You couldn't have met in a better place,"" said old Joe, removing his pipe from his mouth. """,0.776,0.566,0.204,0.369
"You were made free of it long ago, you know; and the other two an't strangers.",0.262,0.757,0.102,0.171
Stop till I shut the door of the shop.,0.924,0.495,0.750,0.332
"There an't such a rusty bit of metal in the place as its own hinges, I believe; and I'm sure there's no such old bones here as mine.",0.130,0.957,0.001,0.618
The parlour was the space behind the screen of rags.,0.581,0.285,0.676,0.589
"The old man raked the fire together with an old stair-rod, and, having trimmed his smoky lamp (for it was night) with the stem of his pipe, put it into his mouth again.",0.890,0.617,0.405,0.265
"While he did this, the woman who had already spoken threw her bundle on the floor, and sat down in a flaunting manner on a stool; crossing her elbows on her knees, and looking with a bold defiance at the other two.",0.774,0.666,0.152,0.056
"""Every person has a right to take care of themselves. _",0.148,0.196,0.754,0.103
"""  ""Why, then, don't stand staring as if you was afraid, woman!",0.396,0.201,0.883,0.214
"We're not going to pick holes in each other's coats, I suppose?",0.473,0.469,0.004,0.089
"""We should hope not.""  ""Very well, then!"" cried the woman.",0.498,0.862,0.187,0.307
Who's the worse for the loss of a few things like these?,0.154,0.131,0.065,0.320
"Not a dead man, I suppose?",0.173,0.933,0.541,0.402
"If he had been, he'd have had somebody to look after him when he was struck with Death, instead of lying gasping out his last there, alone by himself.""",0.414,0.289,0.744,0.055
"""It's the truest word that ever was spoke,"" said Mrs. Dilber, ""It's a judgment on him.",0.885,0.488,0.585,0.306
"""  ""I wish it was a little heavier judgment,"" replied the woman; ""and it should have been, you may depend upon it, if I could have laid my hands on anything else.",0.299,0.386,0.727,0.147
"Open that bundle, old Joe, and let me know the value of it.",0.318,0.449,0.040,0.212
"I'm not afraid to be the first, nor afraid for them to see it.",0.056,0.703,0.253,0.469
"We knew pretty well that we were helping ourselves before we met here, I believe.",0.077,0.992,0.237,0.221
"But the gallantry of her friends would not allow of this; and the man in faded black, mounting the breach first, produced _his_ plunder.",0.551,0.870,0.955,0.262
"A seal or two, a pencil-case, a pair of sleeve-buttons, and a brooch of no great value, were all.",0.049,0.315,0.996,0.868
"They were severally examined and appraised by old Joe, who chalked the sums he was disposed to give for each upon the wall, and added them up into a total when he found that there was nothing more to come.",0.406,0.099,0.840,0.144
"""That's your account,"" said Joe, ""and I wouldn't give another sixpence, if I was to be boiled for not doing it.",0.141,0.740,0.594,0.218
Her account was stated on the wall in the same manner.,0.336,0.742,0.504,0.347
"""I always give too much to ladies.",0.060,0.769,0.045,0.087
"It's a weakness of mine, and that's the way I ruin myself,"" said old Joe.",0.472,0.796,0.108,0.499
"If you asked me for another penny, and made it an open question, I'd repent of being so liberal, and knock off half-a-crown.""  ""And now undo _my_ bundle, Joe,"" said the first woman.",0.650,0.946,0.441,0.349
"Joe went down on his knees for the greater convenience of opening it, and, having unfastened a great many knots, dragged out a large heavy roll of some dark stuff.",0.663,0.621,0.325,0.289
"""Ah!"" returned the woman, laughing and leaning forward on her crossed arms.",0.308,0.452,0.917,0.357
"""You don't mean to say you took 'em down, rings and all, with him lying there?"" said Joe.",0.287,0.395,0.577,0.477
"""Yes, I do,"" replied the woman.",0.820,0.374,0.451,0.223
"""You were born to make your fortune,"" said Joe, ""and you'll certainly do it.""",0.111,0.669,0.840,0.037
"""I certainly shan't hold my hand, when I can get anything in it by reaching it out, for the sake of such a man as He was, I promise you, Joe,"" returned the woman coolly.",0.725,0.163,0.760,0.177
"""Don't drop that oil upon the blankets, now.""  ""His blankets?"" asked Joe.",0.712,0.392,0.306,0.088
"He isn't likely to take cold without 'em, I dare say.",0.091,0.842,0.713,0.099
"""  ""I hope he didn't die of anything catching?",0.462,0.573,0.657,0.697
"Eh?"" said old Joe, stopping in his work, and looking up.",0.761,0.687,0.451,0.050
"""Don't you be afraid of that,"" returned the woman.",0.726,0.151,0.797,0.518
"You may look through that shirt till your eyes ache; but you won't find a hole in it, nor a threadbare place.",0.631,0.578,0.402,0.517
"It's the best he had, and a fine one too.",0.430,0.084,0.203,0.178
"They'd have wasted it, if it hadn't been for me.""  ""What do you call wasting of it?"" asked old Joe.",0.485,0.651,0.689,0.031
"""Putting it on him to be buried in, to be sure,"" replied the woman with a laugh.",0.432,0.167,0.258,0.526
"If calico an't good enough for such a purpose, it isn't good enough for anything.",0.284,0.694,0.932,0.037
"As they sat grouped about their spoil, in the scanty light afforded by the old man's lamp, he viewed them with a detestation and disgust which could hardly have been greater, though they had been obscene demons, marketing the corpse itself.",0.813,0.099,0.068,0.117
"""Ha, ha!"" laughed the same woman when old Joe, producing a flannel bag with money in it, told out their several gains upon the ground.",0.593,0.097,0.267,0.125
"He frightened every one away from him when he was alive, to profit us when he was dead!",0.002,0.014,0.964,0.070
"Ha, ha, ha!""  ""Spirit!"" said Scrooge, shuddering from head to foot.",0.325,0.051,0.193,0.126
The case of this unhappy man might be my own.,0.397,0.653,0.558,0.987
My life tends that way now.,0.015,0.793,0.556,0.273
"He recoiled in terror, for the scene had changed, and now he almost touched a bed: a bare, uncurtained bed: on which, beneath a ragged sheet, there lay a something covered up, which, though it was dumb, announced itself in awful language.",0.220,0.462,0.782,0.136
"The room was very dark, too dark to be observed with any accuracy, though Scrooge glanced round it in obedience to a secret impulse, anxious to know what kind of room it was.",0.681,0.139,0.267,0.090
"A pale light, rising in the outer air, fell straight upon the bed: and on it, plundered and bereft, unwatched, unwept, uncared for, was the body of this man.",0.335,0.823,0.934,0.101
Its steady hand was pointed to the head.,0.141,0.731,0.832,0.401
"The cover was so carelessly adjusted that the slightest raising of it, the motion of a finger upon Scrooge's part, would have disclosed the face.",0.748,0.843,0.980,0.155
"He thought of it, felt how easy it would be to do, and longed to do it; but had no more power to withdraw the veil than to dismiss the spectre at his side.",0.080,0.168,0.558,0.016
"Oh, cold, cold, rigid, dreadful Death, set up thine altar here, and dress it with such terrors as thou hast at thy command: for this is thy dominion!",0.032,0.888,0.963,0.023
"But of the loved, revered, and honoured head thou canst not turn one hair to thy dread purposes, or make one feature odious.",0.004,0.381,0.981,0.182
"It is not that the hand is heavy, and will fall down when released; it is not that the heart and pulse are still; but that the hand WAS open, generous, and true; the heart brave, warm, and tender; and the pulse a man's.",0.209,0.715,0.949,0.108
"And see his good deeds springing from the wound, to sow the world with life immortal!",0.162,0.579,0.264,0.442
"No voice pronounced these words in Scrooge's ears, and yet he heard them when he looked upon the bed.",0.215,0.658,0.234,0.076
"He thought, if this man could be raised up now, what would be his foremost thoughts?",0.302,0.510,0.937,0.151
"Avarice, hard dealing, griping cares?",0.377,0.588,0.788,0.308
"They have brought him to a rich end, truly!",0.077,0.215,0.341,0.050
"He lay, in the dark, empty house, with not a man, a woman, or a child to say he was kind to me in this or that, and for the memory of one kind word I will be kind to him.",0.190,0.511,0.635,0.135
"A cat was tearing at the door, and there was a sound of gnawing rats beneath the hearth-stone.",0.451,0.128,0.989,0.031
"What _they_ wanted in the room of death, and why they were so restless and disturbed, Scrooge did not dare to think.",0.232,0.185,0.398,0.039
"he said, ""this is a fearful place.",0.544,0.793,0.119,0.393
"In leaving it, I shall not leave its lesson, trust me.",0.626,0.455,0.803,0.651
Still the Ghost pointed with an unmoved finger to the head.,0.192,0.742,0.348,0.182
"""I understand you,"" Scrooge returned, ""and I would do it if I could.",0.247,0.641,0.874,0.158
"But I have not the power, Spirit.",0.126,0.536,0.935,0.276
"I have not the power.""",0.152,0.498,0.082,0.221
Again it seemed to look upon him.,0.099,0.863,0.978,0.089
"""If there is any person in the town who feels emotion caused by this man's death,"" said Scrooge, quite agonised, ""show that person to me, Spirit!",0.235,0.307,0.776,0.396
"The Phantom spread its dark robe before him for a moment, like a wing; and, withdrawing it, revealed a room by daylight, where a mother and her children were.",0.287,0.346,0.519,0.048
"She was expecting some one, and with anxious eagerness; for she walked up and down the room; started at every sound; looked out from the window; glanced at the clock; tried, but in vain, to work with her needle; and could hardly bear the voices of her children in their play.",0.189,0.414,0.708,0.011
